Artifact Creator | Short Id | Miner algo | Log | Miner Duration | Estimator Duration | LOG_EVENT_COUNT | LOG_TRACE_COUNT | MODEL_ENTITY_COUNT | MODEL_EDGE_COUNT | ALPHA_PRECISION_UNRESTRICTED | EARTH_MOVERS_LIGHT_COVERAGE | Run file | Machine | 
msaprh-split_BPIC2018_control_k5 | msaprh-split | split | BPIC2018 control | 1491 | 669 | 32266 | 8759 | 23 | 28 | 0.828 | 0.899988018084735 | mrun_msaprh-split_BPIC2018_control_k5.xml | cl4n091.ib0.hpc.qut.edu.au | 
GDT_SPN discovery | rssmt | rssmt | BPIC2018 control k1 | 1146 | 0 | 31925 | 8763 | 31 | 36 | 0.985 | 0.9967731630001551 | mrun_rssmt_BPIC2018_control_k1.xml | SEF-PA00143522 | 
ToothpasteMinerHP | tmh | tmh | BPIC2018 control k1 | 9416 | 0 | 31925 | 8763 | 51 | 60 | 0.993 | 0.8959159551611479 | mrun_tmh_BPIC2018_control_k1.xml | SEF-PA00143522 | 
Trace Model With Unity Weights | trace | trace | BPIC2018 control k1 | 270 | 0 | 31925 | 8763 | 55089 | 63850 | 1.0 | 0.9997259507188545 | mrun_trace_BPIC2018_control_k1.xml | SEF-PA00143522 | 
GDT_SPN discovery | rssmt | rssmt | BPIC2018 control k2 | 749 | 0 | 32154 | 8762 | 31 | 36 | 0.987 | 0.9943866811120298 | mrun_rssmt_BPIC2018_control_k2.xml | SEF-PA00143522 | 
ToothpasteMinerHP | tmh | tmh | BPIC2018 control k2 | 8884 | 0 | 32154 | 8762 | 60 | 72 | 0.998 | 0.9331787931152226 | mrun_tmh_BPIC2018_control_k2.xml | SEF-PA00143522 | 
Trace Model With Unity Weights | trace | trace | BPIC2018 control k2 | 150 | 0 | 32154 | 8762 | 55548 | 64308 | 1.0 | 0.9997569573929791 | mrun_trace_BPIC2018_control_k2.xml | SEF-PA00143522 | 
GDT_SPN discovery | rssmt | rssmt | BPIC2018 control k3 | 590 | 0 | 32378 | 8762 | 31 | 36 | 0.992 | 0.9697557687568681 | mrun_rssmt_BPIC2018_control_k3.xml | SEF-PA00143522 | 
ToothpasteMinerHP | tmh | tmh | BPIC2018 control k3 | 8972 | 0 | 32378 | 8762 | 55 | 64 | 0.996 | 0.8974827849688557 | mrun_tmh_BPIC2018_control_k3.xml | SEF-PA00143522 | 
Trace Model With Unity Weights | trace | trace | BPIC2018 control k3 | 161 | 0 | 32378 | 8762 | 55996 | 64756 | 0.999 | 0.9997097455014138 | mrun_trace_BPIC2018_control_k3.xml | SEF-PA00143522 | 
GDT_SPN discovery | rssmt | rssmt | BPIC2018 control k4 | 506 | 0 | 32573 | 8762 | 31 | 36 | 0.982 | 0.9794789990313658 | mrun_rssmt_BPIC2018_control_k4.xml | SEF-PA00143522 | 
ToothpasteMinerHP | tmh | tmh | BPIC2018 control k4 | 9059 | 0 | 32573 | 8762 | 42 | 50 | 0.994 | 0.957338731173478 | mrun_tmh_BPIC2018_control_k4.xml | SEF-PA00143522 | 
Trace Model With Unity Weights | trace | trace | BPIC2018 control k4 | 163 | 0 | 32573 | 8762 | 56386 | 65146 | 0.998 | 0.9996620878104279 | mrun_trace_BPIC2018_control_k4.xml | SEF-PA00143522 | 
GDT_SPN discovery | rssmt | rssmt | BPIC2018 control k5 | 540 | 0 | 32266 | 8759 | 34 | 40 | 0.993 | 0.9948064723428698 | mrun_rssmt_BPIC2018_control_k5.xml | SEF-PA00143522 | 
ToothpasteMinerHP | tmh | tmh | BPIC2018 control k5 | 9016 | 0 | 32266 | 8759 | 48 | 58 | 0.991 | 0.8924025475808832 | mrun_tmh_BPIC2018_control_k5.xml | SEF-PA00143522 | 
Trace Model With Unity Weights | trace | trace | BPIC2018 control k5 | 145 | 0 | 32266 | 8759 | 55775 | 64532 | 1.0 | 0.9996859762261464 | mrun_trace_BPIC2018_control_k5.xml | SEF-PA00143522 | 
align-inductive_BPIC2018_reference_k1 | align-inductive | inductive | BPIC2018 reference | 248 | 997 | 25635 | 8762 | 22 | 26 | 0.989 | 0.9257380522112203 | mrun_align-inductive_BPIC2018_reference_k1.xml | cl5n015.ib0.hpc.qut.edu.au | 
align-inductive_BPIC2018_reference_k2 | align-inductive | inductive | BPIC2018 reference | 74 | 808 | 25614 | 8761 | 22 | 26 | 0.988 | 0.9503336232748061 | mrun_align-inductive_BPIC2018_reference_k2.xml | cl5n015.ib0.hpc.qut.edu.au | 
align-inductive_BPIC2018_reference_k3 | align-inductive | inductive | BPIC2018 reference | 83 | 661 | 25589 | 8761 | 23 | 28 | 0.946 | 0.9805568819124412 | mrun_align-inductive_BPIC2018_reference_k3.xml | cl5n015.ib0.hpc.qut.edu.au | 
align-inductive_BPIC2018_reference_k4 | align-inductive | inductive | BPIC2018 reference | 62 | 655 | 25751 | 8761 | 23 | 28 | 0.942 | 0.9953231889980131 | mrun_align-inductive_BPIC2018_reference_k4.xml | cl5n015.ib0.hpc.qut.edu.au | 
align-inductive_BPIC2018_reference_k5 | align-inductive | inductive | BPIC2018 reference | 40 | 692 | 25965 | 8757 | 20 | 24 | 0.998 | 0.9264895981546892 | mrun_align-inductive_BPIC2018_reference_k5.xml | cl5n015.ib0.hpc.qut.edu.au | 
fe-split_BPIC2018_reference_k1 | fe-split | split | BPIC2018 reference | 1546 | 751 | 25635 | 8762 | 26 | 32 | 0.854 | 0.7772645249407351 | mrun_fe-split_BPIC2018_reference_k1.xml | cl4n072.ib0.hpc.qut.edu.au | 
fe-split_BPIC2018_reference_k2 | fe-split | split | BPIC2018 reference | 1452 | 612 | 25614 | 8761 | 21 | 26 | 0.767 | 0.803624765858246 | mrun_fe-split_BPIC2018_reference_k2.xml | cl4n072.ib0.hpc.qut.edu.au | 
fe-split_BPIC2018_reference_k3 | fe-split | split | BPIC2018 reference | 1489 | 572 | 25589 | 8761 | 21 | 26 | 0.759 | 0.8051443285252148 | mrun_fe-split_BPIC2018_reference_k3.xml | cl4n072.ib0.hpc.qut.edu.au | 
fe-split_BPIC2018_reference_k4 | fe-split | split | BPIC2018 reference | 1421 | 575 | 25751 | 8761 | 26 | 32 | 0.805 | 0.8583201671514776 | mrun_fe-split_BPIC2018_reference_k4.xml | cl4n072.ib0.hpc.qut.edu.au | 
fe-split_BPIC2018_reference_k5 | fe-split | split | BPIC2018 reference | 1432 | 580 | 25965 | 8757 | 21 | 26 | 0.68 | 0.8284519209228157 | mrun_fe-split_BPIC2018_reference_k5.xml | cl4n072.ib0.hpc.qut.edu.au | 
msaprh-split_BPIC2018_reference_k1 | msaprh-split | split | BPIC2018 reference | 1546 | 683 | 25635 | 8762 | 26 | 32 | 0.713 | 0.9590372017282567 | mrun_msaprh-split_BPIC2018_reference_k1.xml | cl4n091.ib0.hpc.qut.edu.au | 
msaprh-split_BPIC2018_reference_k2 | msaprh-split | split | BPIC2018 reference | 1452 | 616 | 25614 | 8761 | 21 | 26 | 0.839 | 0.9542507247840398 | mrun_msaprh-split_BPIC2018_reference_k2.xml | cl4n091.ib0.hpc.qut.edu.au | 
msaprh-split_BPIC2018_reference_k3 | msaprh-split | split | BPIC2018 reference | 1489 | 586 | 25589 | 8761 | 21 | 26 | 0.822 | 0.9558400578503956 | mrun_msaprh-split_BPIC2018_reference_k3.xml | cl4n091.ib0.hpc.qut.edu.au | 
msaprh-split_BPIC2018_reference_k4 | msaprh-split | split | BPIC2018 reference | 1421 | 583 | 25751 | 8761 | 26 | 32 | 0.71 | 0.9589058681229927 | mrun_msaprh-split_BPIC2018_reference_k4.xml | cl4n091.ib0.hpc.qut.edu.au | 
msaprh-split_BPIC2018_reference_k5 | msaprh-split | split | BPIC2018 reference | 1432 | 579 | 25965 | 8757 | 21 | 26 | 0.833 | 0.963675984484355 | mrun_msaprh-split_BPIC2018_reference_k5.xml | cl4n091.ib0.hpc.qut.edu.au | 
GDT_SPN discovery | rssmt | rssmt | BPIC2018 reference k1 | 2126 | 0 | 25635 | 8762 | 35 | 42 | 0.932 | 0.965352920808834 | mrun_rssmt_BPIC2018_reference_k1.xml | SEF-PA00143522 | 
ToothpasteMinerHP | tmh | tmh | BPIC2018 reference k1 | 9543 | 0 | 25635 | 8762 | 1271 | 1398 | 0.959 | 0.9063764255417424 | mrun_tmh_BPIC2018_reference_k1.xml | SEF-PA00143522 | 
Trace Model With Unity Weights | trace | trace | BPIC2018 reference k1 | 212 | 0 | 25635 | 8762 | 42510 | 51270 | 0.989 | 0.998298839364076 | mrun_trace_BPIC2018_reference_k1.xml | SEF-PA00143522 | 
GDT_SPN discovery | rssmt | rssmt | BPIC2018 reference k2 | 1341 | 0 | 25614 | 8761 | 32 | 38 | 0.934 | 0.9503302538553762 | mrun_rssmt_BPIC2018_reference_k2.xml | SEF-PA00143522 | 
ToothpasteMinerHP | tmh | tmh | BPIC2018 reference k2 | 9977 | 0 | 25614 | 8761 | 1270 | 1404 | 0.954 | 0.960863580256902 | mrun_tmh_BPIC2018_reference_k2.xml | SEF-PA00143522 | 
Trace Model With Unity Weights | trace | trace | BPIC2018 reference k2 | 116 | 0 | 25614 | 8761 | 42469 | 51228 | 0.99 | 0.9984884848549038 | mrun_trace_BPIC2018_reference_k2.xml | SEF-PA00143522 | 
GDT_SPN discovery | rssmt | rssmt | BPIC2018 reference k3 | 744 | 0 | 25589 | 8761 | 30 | 36 | 0.98 | 0.9783831775296292 | mrun_rssmt_BPIC2018_reference_k3.xml | SEF-PA00143522 | 
ToothpasteMinerHP | tmh | tmh | BPIC2018 reference k3 | 9481 | 0 | 25589 | 8761 | 1187 | 1318 | 0.965 | 0.9502058228198829 | mrun_tmh_BPIC2018_reference_k3.xml | SEF-PA00143522 | 
Trace Model With Unity Weights | trace | trace | BPIC2018 reference k3 | 116 | 0 | 25589 | 8761 | 42419 | 51178 | 0.983 | 0.9982982832851696 | mrun_trace_BPIC2018_reference_k3.xml | SEF-PA00143522 | 
GDT_SPN discovery | rssmt | rssmt | BPIC2018 reference k4 | 760 | 0 | 25751 | 8761 | 33 | 40 | 0.98 | 0.9935314616647876 | mrun_rssmt_BPIC2018_reference_k4.xml | SEF-PA00143522 | 
ToothpasteMinerHP | tmh | tmh | BPIC2018 reference k4 | 9330 | 0 | 25751 | 8761 | 1578 | 1714 | 0.958 | 0.9780869440736176 | mrun_tmh_BPIC2018_reference_k4.xml | SEF-PA00143522 | 
Trace Model With Unity Weights | trace | trace | BPIC2018 reference k4 | 119 | 0 | 25751 | 8761 | 42743 | 51502 | 0.99 | 0.998265430971371 | mrun_trace_BPIC2018_reference_k4.xml | SEF-PA00143522 | 
GDT_SPN discovery | rssmt | rssmt | BPIC2018 reference k5 | 916 | 0 | 25965 | 8757 | 33 | 40 | 0.945 | 0.9667525525721622 | mrun_rssmt_BPIC2018_reference_k5.xml | SEF-PA00143522 | 
ToothpasteMinerHP | tmh | tmh | BPIC2018 reference k5 | 9629 | 0 | 25965 | 8757 | 1593 | 1728 | 0.949 | 0.9801704041196422 | mrun_tmh_BPIC2018_reference_k5.xml | SEF-PA00143522 | 
Trace Model With Unity Weights | trace | trace | BPIC2018 reference k5 | 124 | 0 | 25965 | 8757 | 43175 | 51930 | 0.986 | 0.9984251338834725 | mrun_trace_BPIC2018_reference_k5.xml | SEF-PA00143522 | 
align-inductive_rtfm_k1 | align-inductive | inductive | rtfm | 1232 | 978 | 112430 | 30076 | 33 | 42 | 0.275 | 0.7708939198968165 | mrun_align-inductive_rtfm_k1.xml | cl4n081.ib0.hpc.qut.edu.au | 
align-inductive_rtfm_k2 | align-inductive | inductive | rtfm | 642 | 776 | 112003 | 30075 | 36 | 44 | 0.404 | 0.792484686533806 | mrun_align-inductive_rtfm_k2.xml | cl4n081.ib0.hpc.qut.edu.au | 
align-inductive_rtfm_k3 | align-inductive | inductive | rtfm | 715 | 716 | 112392 | 30075 | 27 | 36 | 0.273 | 0.7757707256725678 | mrun_align-inductive_rtfm_k3.xml | cl4n081.ib0.hpc.qut.edu.au | 
align-inductive_rtfm_k4 | align-inductive | inductive | rtfm | 675 | 771 | 112430 | 30075 | 33 | 40 | 0.274 | 0.7859648830997449 | mrun_align-inductive_rtfm_k4.xml | cl4n081.ib0.hpc.qut.edu.au | 
align-inductive_rtfm_k5 | align-inductive | inductive | rtfm | 724 | 759 | 112215 | 30069 | 32 | 42 | 0.284 | 0.7510996843745991 | mrun_align-inductive_rtfm_k5.xml | cl4n081.ib0.hpc.qut.edu.au | 
fe-split_rtfm_k1 | fe-split | split | rtfm | 1726 | 804 | 112430 | 30076 | 32 | 42 | 0.126 | 0.6561781410545671 | mrun_fe-split_rtfm_k1.xml | cl4n034.ib0.hpc.qut.edu.au | 
fe-split_rtfm_k2 | fe-split | split | rtfm | 1594 | 682 | 112003 | 30075 | 32 | 42 | 0.148 | 0.6734871218638337 | mrun_fe-split_rtfm_k2.xml | cl4n034.ib0.hpc.qut.edu.au | 
fe-split_rtfm_k3 | fe-split | split | rtfm | 1689 | 702 | 112392 | 30075 | 31 | 40 | 0.136 | 0.6227491408033142 | mrun_fe-split_rtfm_k3.xml | cl4n034.ib0.hpc.qut.edu.au | 
fe-split_rtfm_k4 | fe-split | split | rtfm | 1616 | 677 | 112430 | 30075 | 32 | 42 | 0.138 | 0.579561671651484 | mrun_fe-split_rtfm_k4.xml | cl4n034.ib0.hpc.qut.edu.au | 
fe-split_rtfm_k5 | fe-split | split | rtfm | 1593 | 673 | 112215 | 30069 | 32 | 42 | 0.137 | 0.5760049260323883 | mrun_fe-split_rtfm_k5.xml | cl4n034.ib0.hpc.qut.edu.au | 
msaprh-split_rtfm_k1 | msaprh-split | split | rtfm | 1726 | 782 | 112430 | 30076 | 32 | 42 | 0.659 | 0.7468368547815769 | mrun_msaprh-split_rtfm_k1.xml | cl4n091.ib0.hpc.qut.edu.au | 
msaprh-split_rtfm_k2 | msaprh-split | split | rtfm | 1594 | 679 | 112003 | 30075 | 32 | 42 | 0.655 | 0.7687332828025444 | mrun_msaprh-split_rtfm_k2.xml | cl4n091.ib0.hpc.qut.edu.au | 
msaprh-split_rtfm_k3 | msaprh-split | split | rtfm | 1689 | 691 | 112392 | 30075 | 31 | 40 | 0.837 | 0.6872382765261129 | mrun_msaprh-split_rtfm_k3.xml | cl4n091.ib0.hpc.qut.edu.au | 
msaprh-split_rtfm_k4 | msaprh-split | split | rtfm | 1616 | 709 | 112430 | 30075 | 32 | 42 | 0.654 | 0.77030627887917 | mrun_msaprh-split_rtfm_k4.xml | cl4n091.ib0.hpc.qut.edu.au | 
msaprh-split_rtfm_k5 | msaprh-split | split | rtfm | 1593 | 673 | 112215 | 30069 | 32 | 42 | 0.656 | 0.7681628262891668 | mrun_msaprh-split_rtfm_k5.xml | cl4n091.ib0.hpc.qut.edu.au | 
GDT_SPN discovery | rssmt | rssmt | rtfm k1 | 6236 | 0 | 112430 | 30076 | 63 | 76 | 0.116 | 0.7689496697593123 | mrun_rssmt_rtfm_k1.xml | SEF-PA00143522 | 
ToothpasteMinerHP | tmh | tmh | rtfm k1 | 9608 | 0 | 112430 | 30076 | 331 | 426 | 0.904 | 0.951825221910528 | mrun_tmh_rtfm_k1.xml | SEF-PA00143522 | 
Trace Model With Unity Weights | trace | trace | rtfm k1 | 814 | 0 | 112430 | 30076 | 194786 | 224860 |      |      | mrun_trace_rtfm_k1.xml | SEF-PA00143522 | 
GDT_SPN discovery | rssmt | rssmt | rtfm k2 | 7941 | 0 | 112003 | 30075 | 69 | 84 | 0.088 | 0.7691297310748153 | mrun_rssmt_rtfm_k2.xml | SEF-PA00143522 | 
ToothpasteMinerHP | tmh | tmh | rtfm k2 | 9210 | 0 | 112003 | 30075 | 361 | 468 | 0.904 | 0.9712876170528331 | mrun_tmh_rtfm_k2.xml | SEF-PA00143522 | 
Trace Model With Unity Weights | trace | trace | rtfm k2 | 576 | 0 | 112003 | 30075 | 193933 | 224006 |      |      | mrun_trace_rtfm_k2.xml | SEF-PA00143522 | 
GDT_SPN discovery | rssmt | rssmt | rtfm k3 | 9137 | 0 | 112392 | 30075 | 71 | 86 | 0.066 | 0.7699634047525417 | mrun_rssmt_rtfm_k3.xml | SEF-PA00143522 | 
ToothpasteMinerHP | tmh | tmh | rtfm k3 | 9313 | 0 | 112392 | 30075 | 316 | 410 | 0.926 | 0.9579807564228119 | mrun_tmh_rtfm_k3.xml | SEF-PA00143522 | 
Trace Model With Unity Weights | trace | trace | rtfm k3 | 525 | 0 | 112392 | 30075 | 194711 | 224784 |      |      | mrun_trace_rtfm_k3.xml | SEF-PA00143522 | 
